선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
이민호,LG,8,9,0,0,0,25,22,115.0,7.83,3.52,1.02,0.259,69.3,4.3,4.58,4.53,2.14,3.22
이의리,KIA,4,5,0,0,0,19,19,94.2,8.84,5.32,0.57,0.259,71.7,3.61,4.03,3.92,2.09,2.76
가빌리오,SSG,6,4,0,0,0,15,15,81.1,7.75,3.32,0.77,0.343,61.3,5.86,4.02,3.92,1.92,0.78
한현희,Hero,6,2,0,1,0,18,15,85.2,6.41,3.15,0.42,0.304,68.7,3.89,3.78,3.79,1.92,1.92
고우석,LG,1,5,30,0,8,63,0,58.0,10.55,3.57,0.47,0.317,84.3,2.17,2.75,2.32,1.84,2.34
송명기,NC,8,9,0,0,0,24,24,123.1,7.44,4.23,0.88,0.344,66.4,5.91,4.55,4.55,1.79,1.42
이정용,LG,3,3,0,15,0,66,0,69.2,9.56,2.97,0.52,0.283,73.6,2.97,2.95,2.59,1.78,2.21
홍건희,두산,6,6,3,17,5,65,0,74.1,9.93,3.27,0.36,0.328,78.6,2.78,2.74,2.36,1.78,3.37
김원중,롯데,4,4,35,0,5,61,0,62.2,9.19,4.02,0.86,0.273,75.8,3.59,3.83,3.59,1.68,2.79
최채흥,삼성,5,9,0,2,0,26,20,122.1,6.03,2.72,1.18,0.32,72.7,4.56,4.62,4.63,1.59,2.43
임찬규,LG,1,8,0,0,0,17,17,90.2,6.65,4.07,0.69,0.262,68.1,3.87,4.28,4.31,1.51,2.42
김태훈,Hero,4,2,11,15,6,66,0,64.1,7.27,4.62,0.14,0.306,73.4,3.22,3.41,3.36,1.38,2.28
박종훈,SSG,4,2,0,0,0,9,9,54.1,6.79,2.65,0.33,0.248,73.1,2.82,3.57,3.55,1.38,2.04
김재윤,KT,4,3,32,0,6,65,0,67.0,8.6,3.22,0.67,0.287,83.8,2.42,3.29,3.01,1.38,2.9
강재민,한화,2,1,5,13,6,58,0,63.1,7.82,3.69,0.28,0.275,83.3,2.13,3.33,3.21,1.28,2.62
이용찬*,NC,1,3,16,3,4,39,0,37.0,8.51,2.68,0.49,0.25,77.3,2.19,2.87,2.57,1.28,1.54
문승원,SSG,2,2,0,0,0,9,9,50.1,5.72,3.22,0.18,0.259,69.3,2.86,3.51,3.56,1.26,1.61
이인복,롯데,3,0,0,1,0,25,8,61.1,6.6,2.05,0.73,0.348,72.4,4.11,3.81,3.73,1.21,1.34
다카하시,KIA,1,3,0,0,0,7,7,36.2,11.29,2.95,0.98,0.416,70.9,4.91,3.55,3.12,1.21,0.66
김민수,KT,4,2,0,11,2,56,1,58.0,8.53,3.72,0.31,0.327,72.3,2.95,3.13,2.92,1.2,1.32
최준용,롯데,4,2,1,20,2,44,0,47.1,8.56,3.04,1.14,0.282,84.7,2.85,3.97,3.71,1.08,1.77
김범수,한화,4,9,1,9,5,56,2,70.2,8.92,5.35,0.25,0.328,62.3,5.22,3.55,3.41,1.07,0.59
김대유,LG,4,1,0,24,2,64,0,50.2,9.95,2.66,0.36,0.24,80.8,2.13,3.06,2.77,1.05,2.29
몽고메리,삼성,2,5,0,0,0,11,11,52.0,9.52,6.58,0.52,0.303,65.6,5.37,4.39,4.34,1.0,0.6
정우영,LG,7,3,2,26,3,70,0,65.0,5.68,3.6,0.0,0.231,79.2,2.22,3.59,3.72,1.0,3.0
구승민,롯데,6,5,0,19,3,68,0,62.1,9.38,4.48,0.72,0.276,69.3,4.33,3.97,3.79,0.99,1.25
브리검,Hero,7,3,0,0,0,10,10,61.0,7.23,3.84,0.89,0.264,76.5,2.95,4.48,4.47,0.95,1.99
조상우,Hero,6,5,15,5,0,44,0,44.0,9.61,3.89,0.82,0.228,72.7,3.48,3.67,3.39,0.94,1.53
프랑코,롯데,9,8,0,1,0,37,27,150.0,7.44,4.5,1.2,0.291,67.8,5.4,5.31,5.39,0.86,1.79
김택형,SSG,5,1,7,4,3,59,0,75.1,7.41,5.02,0.36,0.286,81.5,2.39,3.8,3.77,0.85,3.04
곽빈,두산,4,7,0,0,0,21,21,98.2,8.76,7.21,0.64,0.281,74.7,4.1,5.08,5.18,0.84,2.21
김강률,두산,3,0,21,3,7,50,0,51.2,7.14,4.35,0.35,0.327,84.2,2.09,3.53,3.46,0.82,2.87
박시영,KT,3,3,0,12,2,48,0,45.0,10.2,3.0,0.8,0.241,74.3,2.4,3.16,2.74,0.79,0.97
라이블리,삼성,0,1,0,0,0,6,6,33.1,10.26,3.51,1.08,0.241,70.6,4.05,4.23,3.98,0.77,0.95
임준형,LG,1,0,0,0,0,6,4,23.0,8.22,1.57,0.0,0.364,74.2,3.13,2.42,2.17,0.75,0.88
최지광,삼성,7,1,0,14,2,60,0,51.1,8.59,4.73,0.88,0.336,69.3,4.91,4.39,4.29,0.74,1.37
오원석,SSG,7,6,0,2,0,33,21,110.0,7.77,6.05,0.9,0.335,64.6,5.89,5.17,5.27,0.73,0.36
우규민,삼성,3,3,2,24,4,60,0,49.0,6.43,1.65,0.92,0.333,75.8,3.31,3.84,3.73,0.72,1.37
장지훈,SSG,2,5,1,10,2,60,0,80.1,5.71,2.13,0.67,0.304,68.0,3.92,3.86,3.85,0.7,1.14
윤대경,한화,2,5,0,7,1,43,9,77.2,6.26,3.94,0.93,0.279,76.6,3.94,4.75,4.84,0.7,2.32
심재민,KT,0,1,0,1,0,28,2,46.2,6.75,2.12,0.77,0.268,79.7,2.89,3.59,3.45,0.6,1.15
조현우,KT,0,0,0,6,0,49,0,31.0,3.77,2.03,0.0,0.252,70.6,2.61,3.17,3.3,0.6,1.22
이현승,두산,5,1,0,7,1,38,0,23.1,7.71,2.31,0.39,0.238,77.7,1.93,2.82,2.56,0.58,1.3
진해수,LG,1,0,0,5,1,50,0,44.1,7.92,3.65,0.41,0.31,76.0,2.44,3.51,3.39,0.58,0.71
홍상삼,KIA,4,1,0,12,0,49,0,36.0,8.25,4.75,1.5,0.276,77.3,4.75,5.33,5.29,0.54,0.72
박치국,두산,2,1,0,8,1,23,0,22.0,8.18,4.5,0.82,0.345,72.8,4.09,3.92,3.77,0.53,0.83
김도규,롯데,2,1,0,5,0,43,0,42.0,8.36,4.5,0.64,0.328,58.8,5.79,3.83,3.69,0.53,0.48
홍성민,NC,3,4,0,13,2,53,0,41.1,5.66,2.61,0.65,0.36,76.4,3.92,3.96,3.99,0.5,0.81
한승혁,KIA,0,3,0,0,0,8,5,23.2,6.46,3.8,0.0,0.342,59.5,4.56,3.42,3.46,0.49,0.24
이창재,KT,2,0,0,0,0,32,0,26.2,6.41,3.38,0.0,0.278,75.0,2.7,2.81,2.72,0.49,0.8
임창민,NC,0,3,0,17,3,46,0,40.1,6.47,4.46,0.45,0.273,64.1,3.79,4.25,4.35,0.48,0.68
서준원,롯데,1,3,0,3,0,26,8,54.0,6.17,4.83,0.83,0.374,59.4,7.33,4.72,4.83,0.48,-0.4
정해영,KIA,5,4,34,0,4,64,0,65.1,6.75,3.86,0.69,0.242,85.1,2.2,4.25,4.27,0.48,3.38
조영우,SSG,4,8,1,0,0,30,8,66.2,6.48,3.51,1.35,0.315,62.8,5.67,5.01,5.03,0.48,0.53
김재웅,Hero,0,1,1,11,0,51,0,53.1,7.93,5.57,0.84,0.284,77.6,3.54,4.53,4.5,0.46,1.5
장시환,한화,0,11,0,1,0,19,16,69.0,6.13,6.26,0.52,0.352,58.3,7.04,4.99,5.23,0.44,-0.6
안영명,KT,0,1,0,4,0,35,0,35.1,8.15,2.8,0.51,0.232,57.2,4.08,3.28,3.07,0.42,0.69
배재준,LG,2,2,0,0,0,15,6,32.2,6.34,3.58,0.28,0.369,72.4,4.13,3.79,3.85,0.4,0.48
박민호,SSG,4,0,0,5,3,40,0,41.0,4.17,2.41,0.66,0.307,75.3,3.73,4.46,4.66,0.39,1.19
박진형,롯데,2,1,0,0,0,22,0,16.0,13.5,5.62,0.56,0.522,65.5,7.31,2.83,2.24,0.38,-0.1
최성훈,LG,1,1,0,3,0,46,0,40.2,7.3,4.2,0.44,0.309,80.4,2.43,3.75,3.7,0.35,1.26
이재희,삼성,0,1,0,0,0,5,5,21.2,7.06,4.15,0.83,0.338,67.3,5.4,4.35,4.33,0.35,0.24
류진욱,NC,1,0,1,7,0,44,0,43.1,6.44,4.57,0.42,0.286,79.4,2.08,4.03,4.08,0.34,1.42
이승현(54),삼성,1,4,0,7,1,41,0,39.1,10.53,5.26,0.69,0.337,65.1,5.26,3.97,3.74,0.34,0.08
박종기,두산,0,4,0,0,0,22,5,59.2,4.98,4.37,0.45,0.32,61.0,5.73,4.49,4.71,0.34,-0.09
이준영,KIA,3,2,1,9,1,50,1,35.2,6.56,4.79,0.76,0.248,53.6,5.55,4.48,4.53,0.33,0.79
엄상백,KT,4,1,0,0,0,10,9,52.2,7.69,4.78,1.2,0.236,77.2,4.1,5.12,5.14,0.33,1.27
최영환,롯데,1,2,0,0,0,20,7,40.2,6.2,5.31,0.89,0.336,62.7,6.2,5.15,5.33,0.31,0.38
김진성,NC,2,4,1,9,2,42,0,37.2,8.84,4.3,1.67,0.327,53.6,7.17,5.06,4.88,0.31,-1.23
김기탁,한화,0,0,0,4,0,19,0,12.1,8.76,5.11,0.0,0.368,54.5,5.84,3.33,3.24,0.31,0.37
원종현,NC,2,2,14,6,7,61,0,53.0,7.64,3.91,0.85,0.376,76.7,4.25,4.22,4.15,0.31,0.76
김명신,두산,3,2,0,2,1,58,1,67.0,5.78,1.88,0.81,0.307,65.8,4.3,4.06,4.07,0.3,1.18
나균안,롯데,1,2,1,1,0,23,7,46.1,5.24,4.66,0.78,0.347,62.2,6.41,4.84,5.03,0.3,0.12
김윤식,LG,7,4,0,1,1,35,3,66.2,7.56,4.86,0.4,0.318,68.1,4.46,4.04,4.05,0.29,0.58
신재영,SSG,0,0,0,0,0,20,1,28.1,8.58,0.64,0.95,0.368,62.5,5.72,3.44,3.14,0.29,0.03
송은범,LG,2,2,0,4,0,35,0,37.1,4.58,3.13,0.24,0.275,65.1,4.1,3.79,3.94,0.25,0.53
주현상,한화,2,2,0,4,0,43,0,50.1,5.9,3.76,1.07,0.26,78.9,3.58,4.76,4.83,0.23,1.21
유원상,KT,1,1,0,1,1,11,0,13.1,8.78,4.72,0.0,0.357,54.5,6.08,2.96,2.78,0.23,0.02
김기중,한화,2,4,0,0,0,15,12,53.2,6.04,6.04,0.67,0.331,72.9,4.7,5.08,5.32,0.23,0.73
주권,KT,3,4,0,27,4,62,0,49.0,3.49,3.49,0.55,0.28,76.8,3.31,4.46,4.71,0.23,1.93
이대은,KT,3,2,1,9,1,31,0,31.0,6.39,3.19,1.16,0.258,71.9,3.48,4.75,4.77,0.22,0.53
르위키,SSG,1,0,0,0,0,4,4,14.1,5.65,1.26,1.26,0.302,77.5,3.77,4.31,4.25,0.21,0.4
황영국,한화,0,2,0,2,2,18,0,14.2,9.2,6.14,0.0,0.356,63.0,5.52,3.54,3.46,0.21,0.13
윤중현,KIA,5,6,0,2,0,30,13,82.2,3.59,3.38,0.76,0.295,72.9,3.92,5.27,5.65,0.21,1.19
백승현,LG,0,0,0,1,0,16,0,16.2,5.4,2.16,0.0,0.265,78.9,2.16,3.21,3.27,0.19,0.56
임현준,삼성,1,2,0,5,0,27,0,11.0,6.55,5.73,0.0,0.344,63.6,6.55,4.88,5.25,0.17,0.22
박진우,NC,0,0,0,1,0,9,0,11.0,9.82,4.09,0.0,0.231,83.3,1.64,2.79,2.53,0.16,0.28
김대우,롯데,2,2,0,9,3,39,0,35.1,7.9,6.11,1.02,0.304,69.9,5.09,5.43,5.55,0.16,1.03
장민재,한화,0,2,0,0,0,12,6,29.1,3.99,2.45,1.23,0.297,68.7,2.76,4.94,5.09,0.15,0.41
함덕주,LG,1,2,0,1,0,16,3,21.0,7.71,5.57,0.86,0.295,75.3,4.29,5.0,5.09,0.13,0.21
이승헌,NC,0,0,0,0,0,5,0,5.1,11.81,1.69,0.0,0.474,50.0,6.75,1.27,0.59,0.13,-0.07
배민서,NC,1,0,0,0,0,32,2,40.0,5.18,3.82,0.68,0.348,67.8,4.95,4.73,4.94,0.12,0.69
김성진,Hero,1,3,0,2,2,46,0,41.2,6.7,4.97,0.86,0.288,57.5,5.18,4.61,4.65,0.12,0.42
전상현,KIA,1,0,0,7,1,15,0,13.0,5.54,4.15,0.69,0.326,76.5,3.46,4.49,4.61,0.11,0.35
신재웅,SSG,0,0,0,0,0,8,0,8.1,9.72,5.4,0.0,0.273,63.6,4.32,2.97,2.74,0.11,0.08
김유영,롯데,1,0,0,0,0,26,0,18.2,8.2,6.75,0.48,0.345,59.0,7.23,4.78,4.89,0.11,0.31
박정수,두산,3,3,0,0,0,12,5,30.1,7.71,4.15,1.48,0.347,58.3,7.42,5.44,5.46,0.1,-0.09
김인범,Hero,0,0,0,0,0,3,0,5.1,8.44,1.69,0.0,0.214,100.0,0.0,2.02,1.66,0.1,0.23
김영규,NC,5,3,0,6,0,37,8,63.2,5.94,3.96,1.41,0.294,67.9,5.37,5.42,5.53,0.1,0.85
장현식,KIA,1,5,1,34,5,69,0,76.2,9.39,4.93,0.82,0.305,82.2,3.29,4.15,3.98,0.09,2.29
권휘,두산,0,0,0,1,0,24,0,20.1,6.64,6.2,0.0,0.267,81.2,2.66,4.22,4.42,0.09,0.64
심창민,삼성,3,2,0,16,2,59,0,51.1,10.17,5.61,1.4,0.293,71.8,5.08,5.32,5.21,0.08,0.78
김지용,LG,0,0,0,0,0,3,0,4.0,11.25,2.25,0.0,0.222,100.0,0.0,2.33,1.93,0.07,0.19
이상민,삼성,1,1,0,3,0,30,0,24.2,5.11,5.11,0.73,0.325,68.9,4.74,4.95,5.18,0.07,0.29
김상수,SSG,4,3,6,5,3,50,0,58.1,6.79,4.63,1.54,0.33,78.4,5.09,5.49,5.54,0.06,0.43
임준섭,한화,0,0,0,0,0,13,0,10.2,9.28,6.75,0.84,0.45,43.9,10.97,5.86,6.08,0.06,-0.2
윤정현,Hero,0,0,0,1,0,10,0,12.1,5.11,3.65,0.0,0.282,88.2,1.46,3.66,3.82,0.06,0.41
양현,Hero,1,2,0,5,0,45,0,48.0,4.12,4.88,0.56,0.331,67.2,4.69,4.67,4.93,0.06,0.31
이우찬,LG,0,1,0,0,0,15,5,34.0,7.15,6.62,0.79,0.314,64.0,5.56,5.19,5.34,0.06,-0.14
오주원,Hero,1,1,1,0,2,22,0,19.1,5.12,1.86,1.4,0.432,54.6,9.31,4.68,4.68,0.06,-0.51
김태경,NC,0,0,0,0,0,7,3,15.0,6.0,5.4,0.6,0.238,66.3,4.8,4.87,5.07,0.05,0.26
지명성,KT,1,0,0,0,0,3,0,4.0,9.0,2.25,0.0,0.1,66.7,0.0,2.83,2.64,0.05,0.08
이태양,SSG,5,10,0,4,0,40,14,103.2,5.38,2.78,2.17,0.296,74.4,5.73,6.2,6.3,0.05,1.18
김진수,LG,0,0,0,0,0,3,0,2.1,7.71,0.0,0.0,0.286,50.0,3.86,1.62,1.22,0.05,0.03
박웅,두산,0,0,0,0,0,10,0,11.2,5.4,3.09,0.0,0.343,63.2,5.4,3.93,4.16,0.05,0.01
오석주,LG,0,0,0,0,0,9,0,8.1,7.56,6.48,0.0,0.36,60.0,6.48,3.81,3.87,0.05,0.09
김도윤,두산,0,0,0,0,0,1,0,1.0,18.0,0.0,0.0,0.0,,0.0,-0.67,-2.07,0.04,0.03
김세현,SSG,0,0,0,0,0,5,0,4.1,10.38,14.54,0.0,0.562,68.8,10.38,5.18,5.37,0.04,-0.16
차우찬,LG,2,1,0,0,0,5,5,22.1,4.84,5.24,0.81,0.203,61.6,5.24,5.57,5.94,0.04,0.48
고효준,LG,0,0,0,0,0,3,0,2.1,3.86,0.0,0.0,0.333,66.7,3.86,2.48,2.45,0.03,0.01
이승호,Hero,1,3,0,5,1,38,3,47.1,7.04,5.89,0.76,0.349,59.0,5.51,4.77,4.86,0.03,-0.1
서진용,SSG,7,5,9,3,6,65,0,67.1,8.29,5.75,1.2,0.268,82.4,3.34,4.83,4.75,0.03,1.86
스미스,Hero,1,0,0,0,0,2,2,10.0,4.5,4.5,0.9,0.25,55.6,6.3,5.13,5.39,0.03,0.07
송윤준,한화,0,0,0,2,0,17,0,12.2,5.68,4.26,0.71,0.289,80.6,3.55,4.75,4.94,0.03,0.31
박건우,KIA,0,0,0,0,0,3,0,3.0,9.0,3.0,0.0,0.333,100.0,0.0,3.33,3.26,0.03,0.1
이승헌,롯데,0,3,0,0,0,16,12,57.2,4.84,6.71,0.31,0.33,67.7,5.77,5.31,5.75,0.02,0.24
조병현,SSG,0,0,0,0,0,3,3,6.2,10.8,6.75,1.35,0.333,51.7,8.1,5.58,5.51,0.02,-0.21
김윤수,삼성,0,0,0,1,0,20,1,19.0,11.84,8.05,0.95,0.418,62.2,6.63,4.91,4.74,0.02,-0.31
문동욱,한화,0,0,0,0,0,1,0,1.1,13.5,6.75,0.0,0.333,100.0,0.0,2.58,2.08,0.02,0.07
김태훈,SSG,2,4,1,16,5,65,0,58.0,7.6,5.9,1.09,0.296,73.0,4.97,5.54,5.69,0.02,0.99
조영건,Hero,0,0,0,0,0,1,0,1.0,27.0,18.0,0.0,1.0,100.0,0.0,3.33,2.28,0.01,0.03
손정욱,NC,1,0,0,0,0,15,0,12.1,5.84,5.11,0.73,0.356,66.4,6.57,4.79,4.95,0.01,0.07
류원석,LG,0,0,0,0,0,6,0,6.0,12.0,13.5,0.0,0.1,63.6,6.0,5.67,5.89,0.01,0.1
정우람,한화,1,4,15,1,6,50,0,44.2,6.45,4.03,1.01,0.316,66.2,5.64,4.9,4.99,0.01,0.38
배성근(투),롯데,0,0,0,0,0,2,0,2.0,4.5,4.5,0.0,0.286,100.0,0.0,3.83,4.05,0.01,0.07
전유수,KT,1,0,0,0,1,11,0,10.2,7.59,5.06,0.84,0.267,66.2,3.38,4.55,4.54,0.01,0.12
황윤호(투),KIA,0,0,0,0,0,1,0,0.2,0.0,0.0,0.0,0.5,50.0,0.0,3.33,3.68,0.0,-0.03
오윤석(투),롯데,0,0,0,0,0,1,0,0.2,0.0,0.0,0.0,0.0,,0.0,3.33,3.68,0.0,0.02
신지후,한화,0,0,0,0,0,2,0,0.1,0.0,27.0,0.0,0.0,-100.0,0.0,12.33,14.52,0.0,0.01
강태율(투),롯데,0,0,0,0,0,1,0,0.1,0.0,0.0,0.0,0.667,100.0,0.0,3.33,3.68,0.0,0.01
최정용(투),KIA,0,0,0,0,0,1,0,0.1,0.0,0.0,0.0,0.5,100.0,0.0,3.33,3.68,0.0,0.01
김민수(투),롯데,0,0,0,0,0,1,0,1.0,9.0,9.0,0.0,0.0,100.0,0.0,4.33,4.42,0.0,0.03
김주온,SSG,0,0,0,0,0,2,0,2.0,13.5,9.0,0.0,0.25,100.0,0.0,4.83,4.85,0.0,0.06
진명호,롯데,2,2,0,3,0,33,0,24.1,8.88,5.18,1.11,0.266,69.2,4.81,4.94,4.88,-0.0,0.03
나원탁(투),롯데,0,0,0,0,0,2,0,2.0,13.5,13.5,0.0,0.25,25.0,13.5,4.83,4.79,-0.0,-0.08
이찬혁,LG,0,0,0,0,0,1,0,1.0,18.0,18.0,0.0,0.5,33.3,18.0,5.33,5.16,-0.0,-0.09
채지선,LG,0,0,0,0,0,14,0,17.1,9.35,10.38,0.0,0.306,77.1,3.12,4.72,4.86,-0.0,0.17
이충호,한화,1,0,0,0,0,17,0,16.1,6.06,7.16,0.55,0.339,54.9,7.71,5.72,6.13,-0.01,-0.02
정동윤,SSG,0,0,0,0,0,1,0,2.0,0.0,4.5,0.0,0.167,100.0,0.0,4.83,5.49,-0.01,0.07
박주성,Hero,0,1,0,0,0,13,0,18.1,5.89,4.42,0.49,0.354,71.4,4.91,4.53,4.71,-0.01,-0.29
최세창,두산,0,0,0,0,0,1,0,1.1,0.0,6.75,0.0,0.25,100.0,0.0,5.58,6.39,-0.01,0.04
정진호(투),한화,0,0,0,0,0,3,0,1.2,0.0,5.4,0.0,0.2,100.0,0.0,5.13,5.85,-0.01,0.05
윤산흠,한화,0,0,0,0,0,5,0,3.0,6.0,6.0,0.0,0.538,81.8,6.0,6.0,6.66,-0.01,0.04
안인산,NC,0,0,0,0,0,7,0,6.2,12.15,9.45,0.0,0.2,61.5,5.4,5.13,5.28,-0.01,-0.02
박승주,Hero,0,0,0,0,0,3,0,4.1,2.08,6.23,0.0,0.214,66.7,4.15,4.95,5.52,-0.01,0.04
강동호,롯데,0,0,0,0,0,1,0,1.1,6.75,6.75,0.0,0.25,66.7,6.75,6.33,7.04,-0.01,-0.01
박선우,롯데,0,0,0,0,0,1,0,2.0,4.5,0.0,0.0,0.167,100.0,0.0,5.33,5.98,-0.01,0.08
윤성빈,롯데,0,0,0,0,0,1,0,1.0,0.0,9.0,0.0,0.0,100.0,0.0,6.33,7.29,-0.01,0.04
윤명준,두산,1,0,0,1,0,45,0,45.2,5.12,3.94,0.59,0.336,67.3,4.73,4.49,4.67,-0.02,0.5
박재민,롯데,0,0,0,0,0,5,0,2.2,6.75,6.75,3.38,0.25,0.0,16.88,8.96,9.25,-0.02,-0.07
김진욱,롯데,4,6,0,8,0,39,5,45.2,8.87,9.66,0.59,0.315,69.0,6.31,5.44,5.61,-0.02,0.02
남호,두산,0,1,0,0,0,5,0,2.2,6.75,10.12,0.0,0.375,50.0,10.12,5.21,5.59,-0.03,-0.09
이상규,LG,0,0,0,0,0,7,0,6.0,6.0,3.0,1.5,0.333,52.1,9.0,5.67,5.82,-0.03,-0.11
김창훈,롯데,0,0,0,0,0,6,0,8.0,6.75,6.75,1.12,0.429,51.1,11.25,5.71,5.91,-0.03,-0.15
추재현(투),롯데,0,0,0,0,0,1,0,1.0,0.0,18.0,0.0,0.0,100.0,0.0,9.33,10.9,-0.03,0.04
김대우,삼성,0,2,0,1,0,31,4,51.0,4.76,2.65,1.24,0.333,61.2,6.35,5.0,5.13,-0.04,-0.23
김태형,LG,0,0,0,0,0,2,0,1.0,9.0,18.0,0.0,0.0,0.0,27.0,10.33,11.77,-0.04,-0.09
문용익,삼성,2,0,0,2,1,22,0,22.0,7.77,4.09,1.23,0.286,75.5,4.5,4.88,4.83,-0.04,0.43
홍민기,롯데,0,0,0,0,0,1,0,0.1,0.0,54.0,0.0,0.0,50.0,27.0,21.33,25.35,-0.04,-0.05
윤호솔,한화,3,0,0,8,0,55,0,48.2,7.77,5.55,1.29,0.262,70.1,4.62,5.45,5.51,-0.04,0.68
노성호,삼성,0,2,0,1,0,16,0,19.0,9.0,6.63,0.95,0.178,67.6,4.74,5.07,5.07,-0.04,0.19
고영창,KIA,0,2,0,6,1,24,0,23.1,2.31,3.86,0.0,0.337,54.8,5.79,4.36,4.81,-0.04,-0.73
허윤동,삼성,0,1,0,0,0,1,1,3.2,7.36,2.45,2.45,0.438,46.5,12.27,6.88,6.98,-0.04,-0.25
홍정우,삼성,2,0,0,0,1,15,0,15.2,6.89,2.3,1.72,0.244,87.0,3.45,5.06,4.96,-0.04,0.31
현도훈,두산,0,0,0,0,0,5,2,8.2,9.35,13.5,1.04,0.348,43.7,12.46,7.26,7.66,-0.05,-0.4
고봉재,두산,0,0,0,0,0,1,0,1.1,0.0,0.0,6.75,0.571,27.8,27.0,13.08,13.71,-0.05,-0.19
서균,한화,0,0,0,0,0,3,0,1.2,0.0,0.0,0.0,0.286,50.0,10.8,6.93,8.17,-0.05,-0.13
강동연,NC,3,2,0,1,0,12,3,23.0,5.48,5.48,1.57,0.273,53.9,7.83,6.2,6.46,-0.05,-0.1
