선수명,팀명,승,패,세,홀드,블론,경기,선발,이닝,삼진/9,볼넷/9,홈런/9,BABIP,LOB%,ERA,FIP,kFIP,FIP-WAR,RA9-WAR
스파크맨,롯데,2,4,0,0,0,19,19,84.2,9.46,4.57,0.64,0.379,65.6,5.32,3.79,3.66,2.19,1.01
고우석,LG,4,2,42,0,2,61,0,60.2,11.87,3.12,0.89,0.24,92.9,1.48,2.88,2.44,2.16,3.47
배제성,KT,3,9,0,0,0,24,18,107.0,7.49,3.87,0.67,0.307,67.7,4.21,3.97,3.92,2.14,1.93
최원준,두산,8,13,0,0,0,30,30,165.0,6.16,2.02,1.15,0.306,74.4,3.6,4.43,4.45,1.97,3.67
김재윤,KT,9,7,33,0,6,61,0,66.1,10.58,2.85,0.68,0.256,68.3,3.26,2.65,2.26,1.87,2.32
벤자민,KT,5,4,0,0,0,17,17,96.2,7.17,2.23,1.02,0.242,78.8,2.7,4.03,3.98,1.81,3.21
이용찬*,NC,3,3,22,0,4,59,0,60.2,9.05,1.93,0.45,0.308,82.6,2.08,2.76,2.56,1.77,2.91
신민혁,NC,4,9,0,0,0,26,23,118.1,7.99,2.36,1.14,0.318,70.9,4.56,4.23,4.17,1.75,2.36
정해영,KIA,3,7,32,0,4,55,0,56.0,6.91,2.89,0.48,0.3,75.2,3.38,3.41,3.34,1.68,2.7
페냐,한화,5,4,0,0,0,13,13,67.2,9.44,3.99,0.53,0.326,70.0,3.72,3.52,3.39,1.67,1.52
애플러,Hero,6,8,0,0,0,33,25,140.1,5.52,2.57,0.83,0.339,74.6,4.3,4.28,4.37,1.57,3.0
최원태,Hero,7,5,0,0,1,26,20,105.2,5.37,3.41,0.43,0.265,67.2,3.75,4.04,4.19,1.54,2.53
전상현,KIA,5,5,2,16,4,50,0,46.1,10.3,3.11,0.39,0.336,68.8,3.3,2.52,2.19,1.51,1.07
구승민,롯데,2,4,0,26,1,73,0,62.0,11.18,5.08,0.44,0.299,79.7,2.9,3.04,2.73,1.49,2.33
김민우,한화,6,11,0,0,0,29,29,163.0,7.12,4.64,0.88,0.274,72.0,4.36,4.58,4.63,1.44,3.88
이영하,두산,6,8,0,0,0,21,20,98.2,7.57,5.2,0.46,0.342,64.8,4.93,4.2,4.27,1.43,0.84
오원석,SSG,6,8,0,0,1,31,24,144.0,7.0,3.62,1.0,0.323,71.2,4.5,4.48,4.47,1.37,2.38
최준용,롯데,3,4,14,6,3,68,0,71.0,10.14,2.54,1.27,0.294,72.0,4.06,3.89,3.66,1.23,1.84
한승혁,KIA,4,3,0,0,1,24,16,80.1,7.73,4.48,0.45,0.378,67.0,5.27,3.99,4.03,1.21,0.64
김원중,롯데,2,3,17,2,3,43,0,43.0,12.56,3.35,0.84,0.35,69.4,3.98,2.67,2.16,1.17,0.69
홍건희,두산,2,9,18,9,4,58,0,62.0,8.71,3.05,0.73,0.31,68.9,3.48,3.42,3.25,1.14,1.17
노경은,SSG,12,5,1,7,4,41,8,79.2,6.21,2.6,0.56,0.275,76.4,3.05,3.79,3.84,1.11,2.89
장시환,한화,0,5,14,9,5,64,0,63.2,9.47,4.66,0.57,0.315,63.2,4.38,3.47,3.28,1.09,0.89
임찬규,LG,6,11,0,0,0,23,23,103.2,6.51,3.47,0.87,0.319,68.3,5.04,4.48,4.56,1.04,1.37
윤대경,한화,4,9,0,0,1,25,14,75.1,6.09,2.03,0.72,0.38,55.1,7.53,3.98,4.07,1.03,-0.32
스트레일리,롯데,4,2,0,0,0,11,11,62.1,8.09,3.18,0.72,0.29,77.3,2.31,3.94,3.92,1.03,1.93
오승환,삼성,6,2,31,2,7,57,0,57.0,8.05,2.05,1.26,0.309,80.9,3.32,4.11,3.96,0.96,1.86
한현희,Hero,6,4,0,0,0,21,14,77.2,6.84,2.78,1.04,0.303,69.3,4.75,4.56,4.64,0.92,1.85
장민재,한화,7,8,0,0,0,32,25,126.2,5.33,2.77,1.07,0.277,77.4,3.55,4.69,4.79,0.86,3.59
임기영,KIA,4,13,1,0,0,26,23,129.1,5.71,2.51,1.25,0.294,75.3,4.24,4.81,4.88,0.84,2.69
이승현(54),삼성,2,4,1,14,2,58,0,47.2,10.76,4.15,0.94,0.311,65.6,4.53,3.76,3.53,0.84,0.71
원종현,NC,5,0,1,13,3,68,0,63.1,7.11,2.42,0.71,0.27,77.3,2.98,3.64,3.57,0.8,1.95
이재학,NC,3,8,0,0,0,26,17,91.0,7.12,5.34,0.49,0.267,62.3,4.75,4.52,4.66,0.75,1.19
정철원,두산,4,3,3,22,3,58,0,72.2,5.82,3.22,0.5,0.267,75.2,3.1,3.84,3.9,0.74,2.81
이준영,KIA,1,1,1,17,1,75,0,46.1,8.16,5.05,0.58,0.299,79.6,2.91,3.86,3.77,0.72,1.71
진해수,LG,4,0,0,12,1,64,0,45.0,7.0,2.2,0.2,0.295,76.6,2.4,2.87,2.8,0.71,1.73
브랜든,두산,5,3,0,0,0,11,11,65.0,5.54,3.32,0.69,0.251,70.3,3.6,4.26,4.35,0.71,1.53
김재웅,Hero,3,2,13,27,2,65,0,62.2,8.04,4.16,0.57,0.222,87.3,2.01,3.87,3.85,0.7,2.96
김도규,롯데,4,4,3,8,0,55,0,51.0,7.94,3.35,0.35,0.313,66.0,3.71,3.32,3.29,0.7,0.75
파슨스,NC,1,2,0,0,0,8,8,43.0,9.0,4.4,0.84,0.268,73.4,3.56,4.09,3.96,0.69,1.11
하준영,NC,3,0,0,4,0,47,0,39.0,10.15,3.23,0.69,0.258,56.4,4.62,3.32,3.11,0.65,0.24
주권,KT,3,3,1,15,1,58,0,50.2,5.51,1.42,0.53,0.348,71.2,3.91,3.36,3.34,0.65,0.76
고효준,SSG,1,0,0,6,1,45,0,38.2,8.15,4.66,0.23,0.298,70.1,3.72,3.42,3.38,0.63,0.81
이민호,LG,12,8,0,0,0,26,26,119.1,5.51,3.24,1.06,0.332,67.5,5.51,4.9,5.05,0.63,1.32
김명신,두산,3,3,0,10,0,68,0,79.2,6.89,2.82,0.56,0.297,72.9,3.62,3.68,3.67,0.61,2.0
이태양,SSG,8,3,0,1,0,30,17,112.0,4.9,1.93,1.21,0.281,76.6,3.62,4.72,4.83,0.61,3.05
송명기,NC,5,7,0,0,0,25,22,107.2,8.86,4.51,1.17,0.336,71.3,4.51,4.99,5.03,0.6,1.09
이정용,LG,4,4,1,22,5,65,0,59.1,6.07,2.73,0.46,0.273,68.3,3.34,3.51,3.53,0.56,1.59
이채호,KT,5,0,0,3,0,38,0,36.2,7.85,3.19,0.0,0.275,72.3,2.95,2.99,3.05,0.55,1.0
더모디,NC,3,5,0,0,0,8,8,39.2,8.4,2.95,0.68,0.333,60.6,4.54,3.97,4.03,0.53,0.1
서진용,SSG,7,3,21,11,4,68,0,67.1,7.35,4.81,0.67,0.306,74.0,4.01,4.28,4.31,0.51,1.96
킹험,한화,1,2,0,0,0,3,3,16.1,9.92,2.76,0.55,0.311,76.5,2.76,3.04,2.81,0.51,0.57
최승용,두산,3,7,0,5,0,48,15,93.1,6.17,4.15,0.77,0.318,65.3,5.3,4.53,4.61,0.48,1.18
우규민,삼성,4,3,1,16,6,60,0,47.0,5.94,1.15,0.57,0.333,72.4,3.26,3.36,3.4,0.48,0.93
강윤구,롯데,0,0,0,0,0,29,0,21.1,11.39,2.53,0.0,0.403,46.9,5.48,1.79,1.42,0.47,-0.04
김종수,한화,3,4,1,7,4,52,0,45.0,9.0,4.2,1.0,0.283,58.2,4.4,4.25,4.14,0.47,0.22
황동재,삼성,1,3,0,0,0,16,13,66.1,7.19,4.21,1.22,0.376,58.5,7.06,4.91,4.89,0.46,-0.82
서준원,롯데,3,3,0,2,0,33,4,60.0,6.75,3.45,0.45,0.333,68.7,4.8,3.89,3.98,0.45,0.6
김유영,롯데,6,2,0,13,2,68,0,51.0,7.76,5.29,0.71,0.401,71.7,5.65,4.46,4.5,0.45,0.53
김진성,LG,6,3,0,12,2,67,0,58.0,8.38,3.41,0.93,0.253,78.5,3.1,3.86,3.71,0.44,1.31
김진욱,롯데,2,5,0,0,0,14,12,46.2,10.03,6.75,0.58,0.32,61.1,6.56,4.65,4.73,0.44,0.03
임창민,두산,0,0,2,6,3,32,0,27.1,6.91,3.29,0.99,0.264,69.0,3.95,4.66,4.76,0.44,1.01
임정호,NC,1,2,0,6,0,33,0,25.0,10.8,2.52,0.36,0.312,66.4,3.24,2.54,2.26,0.44,0.06
문동주,한화,1,3,0,2,0,13,4,28.2,11.3,4.4,1.57,0.329,66.7,5.65,4.67,4.39,0.44,0.25
김재열,KIA,1,2,1,5,1,47,0,43.0,7.53,4.6,1.05,0.312,57.4,6.07,4.64,4.63,0.43,0.27
박영현,KT,0,1,0,2,1,52,0,51.2,9.58,3.48,0.87,0.297,72.9,3.66,3.57,3.33,0.41,0.54
김시훈,NC,4,5,0,11,1,59,7,83.1,8.53,4.64,0.76,0.298,77.5,3.24,4.23,4.19,0.39,1.79
라미레즈,한화,2,6,0,0,0,13,13,65.1,6.47,5.1,0.55,0.257,69.7,4.13,4.72,4.93,0.39,1.57
카펜터,한화,0,1,0,0,0,4,4,18.0,7.5,3.0,0.5,0.321,81.3,2.5,3.56,3.53,0.38,0.6
김택형,SSG,3,5,17,10,5,64,0,60.1,9.25,3.28,1.19,0.299,69.2,4.92,4.2,4.04,0.38,1.27
김범수,한화,3,7,0,27,5,78,0,66.0,7.91,4.77,0.68,0.322,69.5,4.36,4.07,4.04,0.37,0.98
이우찬,LG,5,0,0,2,0,36,0,44.2,8.46,4.23,0.4,0.237,85.1,1.81,3.45,3.35,0.37,1.64
정우람,한화,0,1,1,7,0,23,0,18.1,9.82,2.95,0.49,0.4,76.1,2.95,2.69,2.38,0.36,0.41
김대유,LG,2,1,0,13,0,59,0,39.2,8.17,3.4,0.45,0.303,85.1,2.04,3.69,3.79,0.34,1.29
문승원,SSG,1,1,3,3,1,23,0,24.2,9.12,2.55,1.09,0.397,70.7,5.11,3.99,3.85,0.34,0.48
장지훈,SSG,2,0,0,6,2,40,0,55.0,5.4,1.8,0.98,0.289,71.4,4.25,4.21,4.28,0.32,0.5
김동혁,Hero,2,1,0,3,1,24,0,26.2,6.08,3.71,0.0,0.333,65.0,4.72,3.12,3.17,0.31,0.11
윤산흠,한화,1,1,0,3,2,37,0,33.2,12.3,8.02,0.27,0.293,80.2,2.67,3.49,3.26,0.31,0.74
이승현(20),삼성,0,2,0,13,1,54,0,50.0,7.02,3.96,0.9,0.299,71.2,4.68,4.52,4.57,0.3,0.76
배재준,LG,0,1,0,0,0,17,5,31.1,6.61,4.31,0.0,0.253,73.2,2.3,3.69,3.88,0.3,0.82
박상원,한화,0,0,0,4,1,14,0,12.0,12.0,4.5,0.0,0.367,76.5,2.25,2.17,1.78,0.28,0.53
이민석,롯데,1,1,0,5,0,27,1,33.2,9.89,5.08,1.07,0.386,63.4,5.88,4.47,4.35,0.27,0.33
한승주,한화,0,0,0,0,0,7,2,15.2,6.89,2.3,0.0,0.439,65.6,6.32,3.15,3.31,0.26,-0.03
노바,SSG,3,4,0,0,0,12,12,63.2,4.52,3.53,0.71,0.329,57.4,6.5,4.77,5.03,0.26,-0.1
문성현,Hero,0,1,13,9,4,45,0,41.1,6.97,3.05,0.65,0.265,73.7,3.27,3.83,3.8,0.25,1.02
김선기,Hero,3,1,1,4,1,26,2,36.2,7.36,4.66,0.25,0.333,61.4,5.15,3.7,3.74,0.25,0.01
김강률,두산,3,4,9,1,4,26,0,24.2,5.47,2.92,0.73,0.317,71.0,4.38,4.15,4.28,0.25,1.31
김태경,NC,3,2,0,1,0,16,7,44.1,6.29,4.26,0.81,0.242,81.6,3.25,4.88,5.07,0.22,1.57
김태훈,Hero,3,2,9,10,4,43,0,43.0,7.12,4.19,0.63,0.298,76.1,3.14,4.06,4.09,0.2,0.8
박시영,KT,0,2,0,5,0,17,0,15.2,6.32,2.3,1.15,0.347,74.3,4.6,4.17,4.11,0.2,0.23
정우영,LG,2,3,0,35,3,67,0,58.0,6.21,4.97,0.47,0.269,83.1,2.64,4.34,4.53,0.18,2.57
서동민,SSG,1,1,0,5,0,20,0,21.0,8.14,4.71,1.29,0.192,67.3,2.57,5.1,5.1,0.18,0.84
문경찬,롯데,1,2,0,1,1,38,0,40.1,6.92,2.9,1.56,0.341,68.8,5.8,5.03,5.0,0.17,0.09
김대우,삼성,1,0,0,0,0,4,0,4.1,10.38,0.0,0.0,0.364,75.0,2.08,1.03,0.57,0.16,0.11
윤호솔,한화,3,5,0,7,2,52,0,42.1,7.02,5.74,0.43,0.306,66.0,4.04,4.24,4.31,0.16,0.91
함덕주,LG,0,0,0,0,0,13,0,12.2,9.24,7.82,0.0,0.29,85.7,2.13,4.13,4.21,0.15,0.41
박종훈,SSG,3,5,0,0,0,11,11,48.0,7.5,3.94,1.12,0.324,64.7,6.0,5.11,5.28,0.14,0.28
김윤수,삼성,3,3,0,3,2,37,1,35.0,8.23,5.66,0.51,0.339,56.5,5.91,4.23,4.25,0.12,0.27
임준형,LG,1,3,0,1,0,10,5,30.0,7.8,4.2,0.6,0.37,61.8,6.0,4.17,4.23,0.12,-0.2
이현승,두산,1,0,0,2,1,23,0,8.2,9.35,4.15,2.08,0.407,78.9,6.23,6.0,5.97,0.11,0.43
김태오,KT,0,0,0,0,0,5,0,4.1,10.38,0.0,0.0,0.529,77.8,4.15,1.03,0.57,0.1,0.04
장재영,Hero,0,0,0,0,0,14,0,14.0,12.21,4.5,1.29,0.512,67.4,7.71,4.2,3.9,0.1,-0.02
주현상,한화,0,1,1,4,1,49,0,55.1,5.37,2.28,0.81,0.342,55.6,6.83,4.3,4.45,0.09,-0.5
장원준,두산,0,1,0,6,0,27,0,17.0,3.71,3.71,0.0,0.371,74.2,3.71,3.93,4.23,0.09,0.48
김현준,KIA,0,1,0,0,0,12,0,14.2,5.52,3.07,0.0,0.345,46.2,5.52,3.14,3.31,0.09,-0.29
장현식,KIA,2,3,1,19,5,54,0,52.0,6.92,4.5,0.69,0.311,80.9,3.12,4.19,4.2,0.09,1.19
박정수,두산,1,1,0,0,0,13,0,19.2,8.24,4.12,0.46,0.296,78.1,3.2,3.7,3.65,0.08,0.45
쿠에바스,KT,1,0,0,0,0,2,2,11.0,6.55,4.09,0.82,0.04,75.8,2.45,4.71,4.85,0.07,0.45
채지선,LG,0,0,0,1,0,3,0,3.0,6.0,0.0,0.0,0.143,100.0,0.0,3.01,3.32,0.07,0.17
심재민,KT,4,1,0,6,0,44,1,43.1,4.36,3.32,0.83,0.264,74.9,3.74,4.61,4.8,0.07,1.31
최충연,삼성,0,1,0,0,0,38,0,38.1,6.81,4.7,0.7,0.308,66.9,4.7,4.57,4.74,0.06,-0.03
이영준,Hero,2,2,0,4,1,26,0,21.0,6.86,6.0,0.0,0.397,71.4,4.29,3.82,3.94,0.06,-0.1
윤정현,Hero,1,1,0,4,0,17,2,22.2,6.75,4.76,0.79,0.357,65.5,6.35,5.11,5.42,0.06,0.5
강효종,LG,1,0,0,0,0,1,1,5.0,7.2,7.2,0.0,0.385,77.8,3.6,4.14,4.24,0.06,0.12
김민,KT,0,0,0,2,0,6,0,7.2,9.39,2.35,1.17,0.188,89.3,2.35,4.12,4.02,0.05,0.36
최성훈,LG,0,0,0,6,0,45,0,33.1,5.94,3.51,0.27,0.229,77.1,2.16,3.67,3.8,0.05,1.07
최동환,LG,0,1,0,0,0,47,0,50.0,5.4,3.06,0.9,0.256,71.4,4.14,4.52,4.62,0.05,0.77
류진욱,NC,4,2,0,4,0,51,0,46.1,7.19,6.02,0.39,0.329,67.3,4.86,4.57,4.74,0.05,0.76
조현우,KT,0,0,0,2,0,19,0,12.0,3.75,3.0,0.0,0.318,63.6,4.5,4.51,5.13,0.04,0.15
안영명,KT,0,0,0,0,0,4,0,3.1,2.7,0.0,0.0,0.25,66.7,2.7,2.74,2.87,0.03,0.05
김창훈,롯데,0,0,0,0,0,1,0,1.2,10.8,0.0,0.0,0.5,66.7,5.4,0.94,0.44,0.03,-0.01
김기훈,KIA,0,0,0,0,0,5,0,8.2,9.35,7.27,0.0,0.2,90.9,1.04,3.69,3.63,0.02,0.4
신헌민,SSG,0,0,0,0,0,1,0,1.0,9.0,0.0,0.0,0.75,33.3,9.0,1.34,0.98,0.02,-0.07
김대우,롯데,0,0,0,1,0,10,0,10.0,7.2,7.2,0.0,0.231,64.3,4.5,4.14,4.24,0.02,0.11
박치국,두산,1,2,0,2,0,15,0,11.2,9.26,6.94,0.0,0.231,55.6,5.4,4.11,4.35,0.02,0.11
장재혁,KIA,0,0,0,0,0,3,0,3.0,12.0,9.0,0.0,0.429,66.7,6.0,3.67,3.48,0.02,-0.02
한재승,NC,0,0,0,2,0,12,0,10.2,9.28,8.44,0.0,0.406,83.3,2.53,4.09,4.17,0.01,0.16
박준영,한화,0,1,0,0,0,5,2,11.0,8.18,6.55,0.82,0.353,40.8,10.64,4.89,4.89,0.01,-0.48
송승기,LG,0,1,0,0,0,7,0,8.1,10.8,6.48,1.08,0.348,73.5,5.4,4.66,4.46,0.01,-0.1
장지수,KIA,0,0,0,0,0,1,0,2.0,4.5,4.5,0.0,0.286,100.0,0.0,3.84,4.03,0.01,0.12
이도윤(투),한화,0,0,0,0,0,2,0,1.1,0.0,0.0,0.0,0.5,25.0,20.25,3.34,3.69,0.01,-0.1
정성종,롯데,0,0,0,0,0,5,0,4.1,10.38,8.31,0.0,0.333,50.0,4.15,3.8,3.71,0.0,-0.08
최지강,두산,0,0,0,0,0,2,0,1.2,10.8,10.8,0.0,0.857,50.0,21.6,4.54,4.52,0.0,-0.21
박시후,SSG,0,0,0,0,0,2,0,1.0,0.0,0.0,0.0,0.5,33.3,18.0,3.34,3.69,0.0,0.04
이대호(투),롯데,0,0,0,1,0,1,0,0.1,0.0,0.0,0.0,0.0,,0.0,3.34,3.69,0.0,0.03
조무근,롯데,0,0,0,0,0,2,0,2.0,4.5,4.5,0.0,0.286,66.7,4.5,3.84,4.03,0.0,0.01
김현수,KIA,0,0,0,0,0,1,0,2.0,4.5,4.5,0.0,0.429,75.0,4.5,3.84,4.03,0.0,0.0
손주영,LG,0,1,0,0,0,3,3,12.2,5.68,5.68,0.0,0.256,66.7,4.97,4.68,5.15,0.0,0.21
윤태현,SSG,0,0,0,0,0,3,0,2.0,9.0,9.0,0.0,0.333,50.0,9.0,4.34,4.38,-0.0,0.07
지명성,KT,0,0,0,0,0,2,0,2.0,4.5,0.0,0.0,0.375,75.0,4.5,3.84,4.49,-0.0,0.01
김건태,NC,0,0,0,0,0,16,0,18.1,7.85,5.89,0.98,0.385,63.3,4.42,4.98,5.08,-0.0,-0.05
이상우,KT,0,0,0,0,0,2,0,3.1,2.7,5.4,0.0,0.273,80.0,2.7,4.54,4.92,-0.01,0.07
최영환,롯데,0,1,0,0,0,1,1,2.2,3.38,3.38,0.0,0.533,40.0,20.25,4.84,5.57,-0.01,-0.31
이병헌,두산,0,0,0,0,0,9,0,5.0,9.0,12.6,0.0,0.333,84.6,3.6,6.14,6.61,-0.01,0.12
이승재,KIA,0,0,0,0,0,1,0,1.0,9.0,0.0,0.0,0.0,100.0,0.0,4.34,5.3,-0.01,0.06
신재영,SSG,0,0,0,0,0,4,0,4.1,8.31,0.0,4.15,0.467,48.4,12.46,7.5,7.23,-0.01,-0.14
김주완,LG,0,0,0,0,0,1,0,1.0,0.0,9.0,0.0,0.333,100.0,0.0,6.34,7.09,-0.02,0.05
오석주,LG,0,0,0,0,0,4,0,3.2,4.91,0.0,2.45,0.25,115.4,2.45,5.8,5.78,-0.02,0.11
권휘,두산,0,0,0,1,0,10,0,9.1,4.82,4.82,0.96,0.25,63.5,5.79,5.59,5.92,-0.02,-0.01
한두솔,SSG,0,0,0,0,0,8,0,5.1,1.69,6.75,0.0,0.4,28.6,16.88,5.22,5.73,-0.02,-0.31
노성호,삼성,0,0,0,0,0,3,0,2.0,9.0,13.5,0.0,0.333,80.0,4.5,5.84,6.08,-0.02,0.02
박세웅,삼성,0,0,0,0,0,5,0,2.2,6.75,16.88,0.0,0.167,71.4,6.75,8.59,9.65,-0.03,0.1
이창재,KT,0,1,0,0,0,4,0,1.1,13.5,13.5,0.0,0.714,37.5,33.75,7.09,7.97,-0.03,-0.22
송윤준,한화,0,0,0,0,0,3,0,4.1,6.23,4.15,0.0,0.231,57.1,6.23,4.73,5.38,-0.03,0.0
임준섭,한화,0,0,0,0,0,5,0,3.2,0.0,2.45,0.0,0.312,85.7,2.45,4.98,5.79,-0.03,0.07
이충호,한화,1,0,0,0,0,5,0,4.2,7.71,9.64,1.93,0.375,69.0,9.64,8.27,8.74,-0.03,-0.06
하준수,NC,0,0,0,0,0,2,0,3.0,3.0,9.0,0.0,0.273,66.7,6.0,5.67,6.19,-0.03,-0.02
진명호,롯데,0,0,0,0,0,16,0,16.1,6.06,4.96,0.55,0.4,67.5,6.06,4.81,5.07,-0.03,0.03
이승민,삼성,0,0,0,0,0,2,0,5.1,3.38,8.44,0.0,0.125,85.7,1.69,5.4,5.86,-0.03,0.17
김주온,SSG,0,0,0,0,0,5,0,4.0,9.0,11.25,2.25,0.2,45.5,11.25,8.34,8.51,-0.03,0.03
이승관,한화,0,0,0,0,0,7,0,5.1,5.06,6.75,0.0,0.421,53.8,10.12,5.03,5.52,-0.04,-0.12
노운현,Hero,0,1,0,0,0,5,0,4.0,6.75,6.75,0.0,0.476,50.0,11.25,4.84,5.29,-0.04,-0.41
김영규,NC,2,7,1,13,5,72,0,66.0,6.27,3.0,0.68,0.28,75.6,3.41,4.07,4.18,-0.04,1.54
김진호,NC,4,0,1,0,0,36,0,42.2,7.38,4.22,1.48,0.354,68.5,6.12,5.31,5.31,-0.04,0.63
김영준,LG,0,0,0,0,0,2,2,9.2,6.52,3.72,0.93,0.259,95.6,1.86,5.41,5.83,-0.04,0.52
송후섭,KIA,0,0,0,0,0,1,0,0.1,0.0,27.0,0.0,0.8,0.0,162.0,21.34,26.83,-0.04,-0.31
임대한,삼성,2,1,0,1,0,12,0,13.2,5.27,5.93,0.66,0.268,53.4,5.27,4.88,5.12,-0.05,-0.04
이민우,한화,1,1,0,0,0,25,5,44.2,4.63,3.43,0.6,0.356,62.0,6.25,4.53,4.76,-0.05,0.04
전영준,SSG,0,0,0,0,0,4,1,5.0,12.6,5.4,3.6,0.417,85.4,7.2,8.14,8.04,-0.05,-0.07
이형범,두산,0,1,0,0,1,31,0,31.0,4.94,3.19,0.29,0.303,67.2,4.35,4.12,4.39,-0.05,0.2
이우석,NC,0,1,0,0,0,3,0,1.2,5.4,16.2,0.0,0.2,33.3,21.6,11.14,13.36,-0.05,-0.06
최지민,KIA,0,0,0,0,0,6,0,6.0,10.5,7.5,1.5,0.5,54.2,13.5,6.17,6.27,-0.05,-0.13
조원태,LG,0,0,0,0,0,2,0,4.0,0.0,4.5,0.0,0.091,100.0,0.0,5.59,6.46,-0.05,0.14
송정인,Hero,0,0,0,0,0,1,0,2.0,0.0,13.5,0.0,0.4,28.6,22.5,7.84,8.79,-0.05,-0.2
이승진,두산,3,1,0,2,1,35,0,31.1,8.33,3.45,1.44,0.323,56.1,6.61,4.81,4.71,-0.06,-0.62
조요한,SSG,2,1,0,4,2,23,0,19.1,6.98,6.05,0.93,0.278,60.9,6.52,5.62,5.95,-0.06,0.42
장필준,삼성,0,3,0,0,0,19,1,30.0,5.1,4.2,0.3,0.37,65.3,5.7,4.14,4.38,-0.06,-0.6
정구범,NC,0,0,0,0,0,2,0,1.1,13.5,6.75,6.75,0.0,0.0,13.5,12.34,12.0,-0.06,-0.06
최건,롯데,0,0,0,0,0,5,0,2.1,11.57,23.14,0.0,0.636,38.5,23.14,8.48,8.96,-0.06,-0.28
이명종,Hero,4,1,0,4,0,27,0,27.1,6.59,5.27,0.99,0.312,69.4,5.27,5.17,5.33,-0.06,0.16
